Year,Month,Arlington A~AZGAS EP PHX/Yuma,Arlington A~AZGAS TW PHX,Arlington A~PermianNewGas EP PHX/Yuma,Arlington A~PermianNewGas TW PHX,Arlington B~AZGAS EP PHX/Yuma,Arlington B~AZGAS TW PHX,Arlington B~PermianNewGas EP PHX/Yuma,Arlington B~PermianNewGas TW PHX,Four Corners 4~FC45_Coal,Four Corners 5~FC45_Coal,Griffith A~WALCTollGas EP Griffith,Griffith A~WALCTollGas TW Griffith,Griffith B~WALCTollGas EP Griffith,Griffith B~WALCTollGas TW Griffith,South Point A~WALCTollGas EP South Point,South Point B~WALCTollGas EP South Point,Four Corners 4~FC45_Gas,Four Corners 5~FC45_Gas,Arlington A_2030~AZGAS EP PHX/Yuma,Arlington A_2030~AZGAS TW PHX,Arlington B_2030~AZGAS EP PHX/Yuma,Arlington B_2030~AZGAS TW PHX,Four Corners 4~FC45_Coal_Gas,Four Corners 5~FC45_Coal_Gas,Redhawk 1 A~AZGAS EP PHX/Yuma,Redhawk 1 A~AZGAS TW PHX,Redhawk 1 B~AZGAS EP PHX/Yuma,Redhawk 1 B~AZGAS TW PHX,Redhawk 2 A~AZGAS EP PHX/Yuma,Redhawk 2 A~AZGAS TW PHX,Redhawk 2 B~AZGAS EP PHX/Yuma,Redhawk 2 B~AZGAS TW PHX,West Phoenix CC1~AZGAS EP PHX/Yuma,West Phoenix CC1~AZGAS TW PHX,West Phoenix CC2~AZGAS EP PHX/Yuma,West Phoenix CC2~AZGAS TW PHX,West Phoenix CC3~AZGAS EP PHX/Yuma,West Phoenix CC3~AZGAS TW PHX,West Phoenix CC5 A~AZGAS EP PHX/Yuma,West Phoenix CC5 A~AZGas,West Phoenix CC5 B~AZGAS EP PHX/Yuma,West Phoenix CC5 B~AZGAS TW PHX,West Phoenix CC4~AZGAS EP PHX/Yuma,West Phoenix CC4~AZGAS TW PHX,Harquahala 2023~AZGAS EP PHX/Yuma,Harquahala 2023~AZGAS TW PHX,Harquahala 2022~AZGAS EP PHX/Yuma,Harquahala 2022~AZGAS TW PHX,Redhawk 1 A~PermianNewGas EP PHX/Yuma,Redhawk 1 A~PermianNewGas TW PHX,Redhawk 1 B~PermianNewGas EP PHX/Yuma,Redhawk 1 B~PermianNewGas TW PHX,Redhawk 2 A~PermianNewGas EP PHX/Yuma,Redhawk 2 A~PermianNewGas TW PHX,Redhawk 2 B~PermianNewGas EP PHX/Yuma,Redhawk 2 B~PermianNewGas,Cholla 1~CH1_Gas,Cholla 3~CH3_Oil,Updated_CCS_F_2031~PermianNewGas,Updated_CCS_F_2032~PermianNewGas,Updated_CCS_F_2033~PermianNewGas,Updated_CCS_F_2034~PermianNewGas,Updated_CCS_F_2035~PermianNewGas,Updated_CCS_F_2036~PermianNewGas,Updated_CCS_F_2037~PermianNewGas,Updated_CCS_F_2038~PermianNewGas,Updated_CCS_F_2039~PermianNewGas,Updated_CCS_F_TL_2040~PermianNewGas,Updated_CCS_F_TL_2041~PermianNewGas,Updated_CCS_F_TL_2042~PermianNewGas,Updated_CCS_F_TL_2043~PermianNewGas,Updated_CCS_F_TL_2044~PermianNewGas,Updated_CCS_H_2031~PermianNewGas,Updated_CCS_H_2032~PermianNewGas,Updated_CCS_H_2033~PermianNewGas,Updated_CCS_H_2034~PermianNewGas,Updated_CCS_H_2035~PermianNewGas,Updated_CCS_H_2036~PermianNewGas,Updated_CCS_H_2037~PermianNewGas,Updated_CCS_H_2038~PermianNewGas,Updated_CCS_H_2039~PermianNewGas,Updated_CCS_H_TL_2040~PermianNewGas,Updated_CCS_H_TL_2041~PermianNewGas,Updated_CCS_H_TL_2042~PermianNewGas,Updated_CCS_H_TL_2043~PermianNewGas,Updated_CCS_H_TL_2044~PermianNewGas
2027,5,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,6,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,7,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,8,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,9,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,10,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,11,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2027,12,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,1,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,2,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,3,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,4,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,5,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,6,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,7,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,8,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,9,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,10,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,11,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2028,12,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1837.19,1837.19,1837.19,1837.19,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,1,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,2,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,3,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,4,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,5,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,6,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,7,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,8,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,9,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,10,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,11,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
2029,12,671,671,671,671,537,537,537,537,14232.3489,14232.3489,630,630,620,620,1330,1330,14232.3489,14232.3489,1940.21,1940.21,1940.21,1940.21,14232.3489,14232.3489,630,630,1670,1670,630,630,1670,1670,524.96,524.96,524.96,524.96,524.96,524.96,1000,1000,2500,2500,4500.048,4500.048,0,0,4984.5,4984.5,630,630,1670,1670,630,630,1670,1670,459.984,1099.941,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,12552.84553,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952,17201.21952
