Year,Month,Douglas,Griffith A,Griffith B,Griffith DB,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 4,Yucca CT 5,Yucca CT 6,Arlington A,Arlington B,Arlington DB,South Point A,South Point B,South Point DB
2026,9,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2026,10,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2026,11,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2026,12,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2027,1,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2027,2,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2027,3,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2027,4,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2027,5,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2027,6,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2027,7,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2027,8,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2027,9,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2027,10,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2027,11,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2027,12,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2028,1,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2028,2,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2028,3,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2028,4,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2028,5,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2028,6,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2028,7,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2028,8,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2028,9,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2028,10,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2028,11,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2028,12,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2029,1,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2029,2,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2029,3,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2029,4,7.21395166,4.047610361,12.74603441,3.696380662,7.21395166,7.21395166,13.16078293,16.3131644,12.14143216,23.25647388,12.48738692,1.848574355,8.52062228,3.09628524,2.452083293,9.854228364,4.050724598,15.49794391,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,7.21395166,7.21395166,4.697438085,15.49794391,10.70136116,18.96865374,14.41576229,17.30472687,10.98735507,13.86058528,11.7388329,9.873896821,13.89499934,13.89499934,10.70136116,6.688332058,5.998240468,6.923840368,7.286866333,2.115613021,10.76401111,3.607807533,7.21395166,7.21395166,7.21395166,7.21395166,7.5257045,7.21395166,8.642601065,8.757632169,4.37079543,14.35539922,4.552401957,4.216295955,16.10611309,6.188048958
2029,5,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2029,6,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2029,7,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
2029,8,9.113408746,1.603510464,5.837766242,1.586086259,9.113408746,9.113408746,13.78494464,15.15361631,12.78975371,15.74452243,12.12888801,0.844300323,4.597002836,1.361518606,0.776623299,4.01101177,1.27363577,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,9.113408746,9.113408746,2.374996746,2.712921167,2.712921167,2.712921167,2.712921167,4.56904689,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.712921167,2.74807894,2.606906303,2.393406159,3.873411833,1.165791236,7.775420096,2.075141639,25.23864998,18.23414384,9.113408746,9.113408746,10.05408187,9.113408746,2.712921167,2.712921167,1.688392554,6.574875374,1.952301156,2.128281996,9.221398341,3.221186985
